"CAMPAIGN_PERFORMANCE_REPORT (Mar 1, 2022-Mar 31, 2022)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners),All conv.
16334583574,Sales-Performance Max- 21feb2022,154,6,3650000,0.00,2022-03-12,Computers,Cross-network,Cross-network,GBP,0,3.90%,608333,0.00%,0.00,608333,23701299,Cross-network,15.00
16485662623,Campaign for 341163 (Shopify - Luis),411,1,788386,0.00,2022-03-16,Computers,Cross-network,Cross-network,GBP,0,0.24%,788386,0.00%,0.00,788386,1918214,Cross-network,28.00
16334583574,Sales-Performance Max- 21feb2022,259,17,7080000,0.00,2022-03-07,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,6.56%,416471,0.00%,0.00,416471,27335907,Cross-network,51.00
16334583574,Sales-Performance Max- 21feb2022,267,18,9310000,0.00,2022-03-08,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,6.74%,517222,0.00%,0.00,517222,34868914,Cross-network,83.00
16334583574,Sales-Performance Max- 21feb2022,60,5,8100000,1.00,2022-03-13,Computers,Cross-network,Cross-network,GBP,8100000,8.33%,1620000,20.00%,0.77,1620000,135000000,Cross-network,13.00
16334583574,Sales-Performance Max- 21feb2022,480,26,14750000,0.00,2022-03-13,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,5.42%,567308,0.00%,0.00,567308,30729167,Cross-network,92.00
16334583574,Sales-Performance Max- 21feb2022,270,23,12430000,2.00,2022-03-20,Mobile devices with full browsers,Cross-network,Cross-network,GBP,6215000,8.52%,540435,8.70%,23.71,540435,46037037,Cross-network,85.00
16334583574,Sales-Performance Max- 21feb2022,304,2,590000,0.00,2022-03-30,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.66%,295000,0.00%,0.00,295000,1940789,Cross-network,3.00
16334583574,Sales-Performance Max- 21feb2022,2498,23,9510000,0.00,2022-03-30,Computers,Cross-network,Cross-network,GBP,0,0.92%,413478,0.00%,0.00,413478,3807046,Cross-network,186.00
16485662623,Campaign for 341163 (Shopify - Luis),2127,15,8380000,0.00,2022-03-10,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.71%,558667,0.00%,0.00,558667,3939821,Cross-network,106.00
16485662623,Campaign for 341163 (Shopify - Luis),906,7,2420000,2.00,2022-03-14,Mobile devices with full browsers,Cross-network,Cross-network,GBP,1210000,0.77%,345714,28.57%,1.52,345714,2671082,Cross-network,40.00
16334583574,Sales-Performance Max- 21feb2022,797,35,13670000,0.00,2022-03-26,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,4.39%,390571,0.00%,0.00,390571,17151819,Cross-network,100.00
16334583574,Sales-Performance Max- 21feb2022,1321,18,8360000,0.00,2022-03-29,Computers,Cross-network,Cross-network,GBP,0,1.36%,464444,0.00%,0.00,464444,6328539,Cross-network,64.00
16334583574,Sales-Performance Max- 21feb2022,3332,57,18740000,6.00,2022-03-29,Mobile devices with full browsers,Cross-network,Cross-network,GBP,3123333,1.71%,328772,10.53%,44.37,328772,5624250,Cross-network,332.00
16334583574,Sales-Performance Max- 21feb2022,465,24,14990000,0.00,2022-03-06,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,5.16%,624583,0.00%,0.00,624583,32236559,Cross-network,85.00
16334583574,Sales-Performance Max- 21feb2022,824,12,4510000,0.00,2022-03-28,Computers,Cross-network,Cross-network,GBP,0,1.46%,375833,0.00%,0.00,375833,5473301,Cross-network,106.00
16485662623,Campaign for 341163 (Shopify - Luis),1026,1,480000,0.00,2022-03-08,Computers,Cross-network,Cross-network,GBP,0,0.10%,480000,0.00%,0.00,480000,467836,Cross-network,6.00
16485662623,Campaign for 341163 (Shopify - Luis),1213,5,1830000,0.00,2022-03-08,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.41%,366000,0.00%,0.00,366000,1508656,Cross-network,12.00
16334583574,Sales-Performance Max- 21feb2022,167,7,3500000,0.00,2022-03-09,Computers,Cross-network,Cross-network,GBP,0,4.19%,500000,0.00%,0.00,500000,20958084,Cross-network,24.00
16334583574,Sales-Performance Max- 21feb2022,185,0,0,0.00,2022-03-23,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.00%,0,0.00%,0.00,0,0,Cross-network,0.00
16334583574,Sales-Performance Max- 21feb2022,7055,54,14760000,10.00,2022-03-31,Mobile devices with full browsers,Cross-network,Cross-network,GBP,1476000,0.77%,273333,18.52%,71.94,273333,2092133,Cross-network,265.00
16334583574,Sales-Performance Max- 21feb2022,392,7,5300000,0.00,2022-03-05,Computers,Cross-network,Cross-network,GBP,0,1.79%,757143,0.00%,0.00,757143,13520408,Cross-network,29.00
16334583574,Sales-Performance Max- 21feb2022,84,2,2320000,0.00,2022-03-05,Tablets with full browsers,Cross-network,Cross-network,GBP,0,2.38%,1160000,0.00%,0.00,1160000,27619048,Cross-network,36.00
16334583574,Sales-Performance Max- 21feb2022,183,2,6040000,2.00,2022-03-23,Computers,Cross-network,Cross-network,GBP,3020000,1.09%,3020000,100.00%,23.71,3020000,33005464,Cross-network,12.00
16485662623,Campaign for 341163 (Shopify - Luis),2019,9,5960000,0.00,2022-03-09,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.45%,662222,0.00%,0.00,662222,2951956,Cross-network,24.00
16485662623,Campaign for 341163 (Shopify - Luis),1179,3,1590000,0.00,2022-03-10,Computers,Cross-network,Cross-network,GBP,0,0.25%,530000,0.00%,0.00,530000,1348601,Cross-network,12.00
16334583574,Sales-Performance Max- 21feb2022,423,30,15180000,0.00,2022-03-12,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,7.09%,506000,0.00%,0.00,506000,35886525,Cross-network,127.00
16334583574,Sales-Performance Max- 21feb2022,78,10,7580000,0.00,2022-03-14,Computers,Cross-network,Cross-network,GBP,0,12.82%,758000,0.00%,0.00,758000,97179487,Cross-network,60.00
16334583574,Sales-Performance Max- 21feb2022,280,20,9140000,2.00,2022-03-21,Mobile devices with full browsers,Cross-network,Cross-network,GBP,4570000,7.14%,457000,10.00%,23.71,457000,32642857,Cross-network,134.00
16334583574,Sales-Performance Max- 21feb2022,185,10,5430000,0.00,2022-03-25,Computers,Cross-network,Cross-network,GBP,0,5.41%,543000,0.00%,0.00,543000,29351351,Cross-network,17.00
