"KEYWORDS_PERFORMANCE_REPORT (Mar 1, 2022-Mar 31, 2022)"
Keyword,Keyword ID,Impressions,Clicks,Cost,Conversions,CTR,Day,First page CPC,First position CPC
AutomaticContent,3000006,18,0,0,0.00,0.00%,2022-03-12,0, --
AutomaticContent,3000006,24,0,0,0.00,0.00%,2022-03-14,0, --
AutomaticContent,3000006,39,0,0,0.00,0.00%,2022-03-15,0, --
AutomaticContent,3000006,43,0,0,0.00,0.00%,2022-03-11,0, --
AutomaticContent,3000006,59,0,0,0.00,0.00%,2022-03-13,0, --
AutomaticContent,3000006,11,0,0,0.00,0.00%,2022-03-08,0, --
AutomaticContent,3000006,25,1,726086,0.00,4.00%,2022-03-09,0, --
AutomaticContent,3000006,80,1,788386,0.00,1.25%,2022-03-16,0, --
AutomaticContent,3000006,20,0,0,0.00,0.00%,2022-03-10,0, --
Total, --,319,2,1514472,0.00,0.63%, --, --, --
