"ADGROUP_PERFORMANCE_REPORT (Dec 1, 2021-Dec 31, 2021)"
Ad group ID,Ad group,Impressions,Clicks,Cost,Conversions,CTR,Currency,Day
129330746069,Ad group,655,13,3220000,1.00,1.98%,USD,2021-12-13
129330746069,Ad group,9866,87,79770000,0.50,0.88%,USD,2021-12-03
129330746069,Ad group,7429,71,64980000,0.00,0.96%,USD,2021-12-01
129330746069,Ad group,1310,20,3520000,0.00,1.53%,USD,2021-12-25
129330746069,Ad group,1361,14,2710000,0.00,1.03%,USD,2021-12-27
129330746069,Ad group,787,19,4780000,0.00,2.41%,USD,2021-12-14
129330746069,Ad group,801,13,2700000,0.00,1.62%,USD,2021-12-24
129330746069,Ad group,785,13,2350000,0.00,1.66%,USD,2021-12-20
129330746069,Ad group,791,11,1780000,0.00,1.39%,USD,2021-12-19
129330746069,Ad group,671,9,1740000,0.33,1.34%,USD,2021-12-18
129330746069,Ad group,606,9,1900000,0.67,1.49%,USD,2021-12-17
129330746069,Ad group,8227,91,91040000,0.00,1.11%,USD,2021-12-02
130505191883,Ad group 1,164,4,8300000,0.00,2.44%,USD,2021-12-31
129330746069,Ad group,729,14,3130000,0.00,1.92%,USD,2021-12-15
130505191883,Ad group 1,99,5,10240000,0.00,5.05%,USD,2021-12-30
129330746069,Ad group,840,10,1910000,0.00,1.19%,USD,2021-12-23
129330746069,Ad group,711,17,4280000,0.00,2.39%,USD,2021-12-11
129330746069,Ad group,636,5,780000,0.00,0.79%,USD,2021-12-10
130505191883,Ad group 1,1,0,0,0.00,0.00%,USD,2021-12-27
129330746069,Ad group,875,9,2420000,0.00,1.03%,USD,2021-12-07
129330746069,Ad group,1433,24,4480000,0.00,1.67%,USD,2021-12-26
129330746069,Ad group,769,11,1510000,0.00,1.43%,USD,2021-12-12
129330746069,Ad group,888,5,1980000,0.00,0.56%,USD,2021-12-06
130505191883,Ad group 1,147,9,27120000,0.00,6.12%,USD,2021-12-29
129330746069,Ad group,779,12,4310000,0.00,1.54%,USD,2021-12-08
129330746069,Ad group,1048,18,3380000,0.00,1.72%,USD,2021-12-28
129330746069,Ad group,1976,23,12010000,0.00,1.16%,USD,2021-12-04
129330746069,Ad group,750,11,2360000,0.00,1.47%,USD,2021-12-16
129330746069,Ad group,207,3,2090000,0.00,1.45%,USD,2021-12-21
130505191883,Ad group 1,28,2,3730000,0.00,7.14%,USD,2021-12-28
129330746069,Ad group,684,6,1250000,0.00,0.88%,USD,2021-12-09
129330746069,Ad group,1158,20,4160000,0.00,1.73%,USD,2021-12-05
129330746069,Ad group,25,2,130000,0.00,8.00%,USD,2021-12-22
Total, --,47236,580,360060000,2.50,1.23%, --, --
