"CAMPAIGN_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Headline,1,0,0,0.00,shopping-Imark,enabled,0.00%,2022-04-18
Sitelink,4,0,0,0.00,new feb-search,enabled,0.00%,2022-04-17
Image extension,16,0,0,0.00,new feb-search,enabled,0.00%,2022-04-11
Shopping ad - Standard,447,7,430000,0.00,shopping-Imark,enabled,1.57%,2022-04-20
Headline,14,1,480000,0.00,new feb-search,enabled,7.14%,2022-04-09
Image extension,13,0,0,0.00,new feb-search,enabled,0.00%,2022-04-23
Image extension,11,0,0,0.00,new feb-search,enabled,0.00%,2022-04-01
Shopping ad - Standard,689,11,2090000,0.00,shopping-Imark,enabled,1.60%,2022-04-02
Headline,1091,13,3405745,0.00,Sales-Display-1,enabled,1.19%,2022-04-14
Headline,1421,7,1863480,0.00,Sales-Display-1,enabled,0.49%,2022-04-25
Shopping ad - Standard,724,18,2770000,0.00,shopping-Imark,enabled,2.49%,2022-04-27
Shopping ad - Standard,811,14,1530000,0.00,shopping-Imark,enabled,1.73%,2022-04-29
Headline,3508,29,9976690,0.00,Sales-Display-1,enabled,0.83%,2022-04-20
Image extension,7,0,0,0.00,new feb-search,enabled,0.00%,2022-04-26
Sitelink,3,0,0,0.00,new feb-search,enabled,0.00%,2022-04-20
Shopping ad - Standard,521,14,1030000,0.00,shopping-Imark,enabled,2.69%,2022-04-22
Sitelink,10,0,0,0.00,new feb-search,enabled,0.00%,2022-04-06
Sitelink,5,0,0,0.00,new feb-search,enabled,0.00%,2022-04-04
Image extension,6,0,0,0.00,new feb-search,enabled,0.00%,2022-04-13
Image extension,12,0,0,0.00,new feb-search,enabled,0.00%,2022-04-04
Headline,7,0,0,0.00,new feb-search,enabled,0.00%,2022-04-25
Headline,29,2,362916,0.00,Sales-Display-1,enabled,6.90%,2022-04-08
Headline,19,2,880000,0.00,new feb-search,enabled,10.53%,2022-04-04
Shopping ad - Standard,448,10,900000,0.00,shopping-Imark,enabled,2.23%,2022-04-24
Headline,156,8,1442800,0.00,Sales-Display-1,enabled,5.13%,2022-04-17
Headline,24,0,0,0.00,new feb-search,enabled,0.00%,2022-04-12
Headline,15,0,0,0.00,new feb-search,enabled,0.00%,2022-04-28
Headline,1068,29,8011369,0.00,Sales-Display-1,enabled,2.72%,2022-04-12
Headline,920,21,5681471,0.00,Sales-Display-1,enabled,2.28%,2022-04-24
Shopping ad - Standard,825,23,3810000,0.00,shopping-Imark,enabled,2.79%,2022-04-28
Sitelink,2,0,0,0.00,new feb-search,enabled,0.00%,2022-04-15
Shopping ad - Standard,504,11,990000,0.00,shopping-Imark,enabled,2.18%,2022-04-07
Sitelink,4,0,0,0.00,new feb-search,enabled,0.00%,2022-04-28
Headline,9,1,380000,0.00,new feb-search,enabled,11.11%,2022-04-13
Headline,9,0,0,0.00,new feb-search,enabled,0.00%,2022-04-02
Headline,601,12,2883130,0.00,Sales-Display-1,enabled,2.00%,2022-04-16
Image extension,21,0,0,0.00,new feb-search,enabled,0.00%,2022-04-18
Image extension,9,0,0,0.00,new feb-search,enabled,0.00%,2022-04-08
Image extension,10,0,0,0.00,new feb-search,enabled,0.00%,2022-04-15
Image extension,3,1,460000,0.00,new feb-search,enabled,33.33%,2022-04-25
Sitelink,4,0,0,0.00,new feb-search,enabled,0.00%,2022-04-24
Headline,1,0,0,0.00,shopping-Imark,enabled,0.00%,2022-04-05
Sitelink,2,0,0,0.00,new feb-search,enabled,0.00%,2022-04-22
Image extension,10,0,0,0.00,new feb-search,enabled,0.00%,2022-04-27
Headline,2,0,0,0.00,shopping-Imark,enabled,0.00%,2022-04-04
Shopping ad - Standard,547,3,230000,0.00,shopping-Imark,enabled,0.55%,2022-04-06
Sitelink,5,0,0,0.00,new feb-search,enabled,0.00%,2022-04-21
Image extension,12,0,0,0.00,new feb-search,enabled,0.00%,2022-04-03
Shopping ad - Standard,481,6,270000,0.00,shopping-Imark,enabled,1.25%,2022-04-17
