"CAMPAIGN_PERFORMANCE_REPORT (Nov 1, 2021-Nov 30, 2021)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Phone calls,67,3,21283928,1.00,Brook Insurance Associates LLC,paused,4.48%,2021-11-04
Phone calls,16,1,23527574,1.00,Brook Insurance Associates LLC,paused,6.25%,2021-11-24
Phone calls,118,6,10500480,1.00,Brook Insurance Associates LLC,paused,5.08%,2021-11-12
Phone calls,14,2,11535980,1.00,Brook Insurance Associates LLC,paused,14.29%,2021-11-09
Sitelink,11,1,3640000,1.00,Brook Insurance Associates LLC,paused,9.09%,2021-11-13
Sitelink,6,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-05
Sitelink,12,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-24
Maps Pin Clicks,14,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-27
Driving direction,94,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-01
Headline,340,1,20000,0.00,Brook Insurance Associates LLC,paused,0.29%,2021-11-10
Maps Pin Clicks,47,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-08
Phone calls,204,8,9119764,0.00,Brook Insurance Associates LLC,paused,3.92%,2021-11-05
Maps Pin Clicks,31,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-26
Driving direction,14,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-28
Sitelink,19,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-08
Sitelink,10,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-19
Phone calls,16,1,6305101,0.00,Brook Insurance Associates LLC,paused,6.25%,2021-11-30
Maps Pin Clicks,10,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-18
Get location details,240,2,2178751,0.00,Brook Insurance Associates LLC,paused,0.83%,2021-11-17
Headline,325,3,10780000,0.00,Brook Insurance Associates LLC,paused,0.92%,2021-11-29
Get location details,260,2,5753323,0.00,Brook Insurance Associates LLC,paused,0.77%,2021-11-29
Headline,28,1,2150000,0.00,Brook Insurance Associates LLC,paused,3.57%,2021-11-09
Headline,510,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-23
Driving direction,16,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-03
Headline,119,1,2550000,0.00,Brook Insurance Associates LLC,paused,0.84%,2021-11-24
Get location details,73,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-04
Maps Pin Clicks,95,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-14
Get location details,40,1,480000,0.00,Brook Insurance Associates LLC,paused,2.50%,2021-11-30
Get location details,150,2,12032989,0.00,Brook Insurance Associates LLC,paused,1.33%,2021-11-15
Phone calls,191,2,3783503,0.00,Brook Insurance Associates LLC,paused,1.05%,2021-11-06
Headline,134,3,5500000,0.00,Brook Insurance Associates LLC,paused,2.24%,2021-11-25
Driving direction,71,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-20
Get location details,74,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-25
Headline,298,1,3260000,0.00,Brook Insurance Associates LLC,paused,0.34%,2021-11-05
Driving direction,104,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-12
Maps Pin Clicks,8,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-10
Driving direction,17,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-24
Sitelink,3,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-30
Get location details,41,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-24
Sitelink,20,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-15
Headline,332,1,13290000,0.00,Brook Insurance Associates LLC,paused,0.30%,2021-11-21
Maps Pin Clicks,17,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-06
Sitelink,6,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-18
Driving direction,12,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-13
Get location details,17,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-28
Maps Pin Clicks,31,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-28
Phone calls,99,2,4030901,0.00,Brook Insurance Associates LLC,paused,2.02%,2021-11-14
Driving direction,206,1,1305252,0.00,Brook Insurance Associates LLC,paused,0.49%,2021-11-29
Maps Pin Clicks,14,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-16
Phone calls,222,4,13003189,0.00,Brook Insurance Associates LLC,paused,1.80%,2021-11-19
Get location details,74,3,7710000,0.00,Brook Insurance Associates LLC,paused,4.05%,2021-11-16
Maps Pin Clicks,96,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-13
Headline,278,1,50000,0.00,Brook Insurance Associates LLC,paused,0.36%,2021-11-15
Sitelink,14,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-29
Headline,145,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-04
Maps Pin Clicks,66,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-24
Get location details,355,1,292044,0.00,Brook Insurance Associates LLC,paused,0.28%,2021-11-08
Get location details,226,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-07
Sitelink,9,1,4990000,0.00,Brook Insurance Associates LLC,paused,11.11%,2021-11-09
Phone calls,372,9,13839877,3.00,Brook Insurance Associates LLC,paused,2.42%,2021-11-11
Headline,446,4,5970000,0.00,Brook Insurance Associates LLC,paused,0.90%,2021-11-08
Phone calls,282,6,3230320,2.00,Brook Insurance Associates LLC,paused,2.13%,2021-11-10
Headline,421,1,3820000,1.00,Brook Insurance Associates LLC,paused,0.24%,2021-11-02
Phone calls,241,9,11473698,2.00,Brook Insurance Associates LLC,paused,3.73%,2021-11-23
Headline,286,3,5740000,1.00,Brook Insurance Associates LLC,paused,1.05%,2021-11-19
Sitelink,21,1,8520000,1.00,Brook Insurance Associates LLC,paused,4.76%,2021-11-04
Headline,278,2,40000,0.00,Brook Insurance Associates LLC,paused,0.72%,2021-11-17
Maps Pin Clicks,41,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-25
Headline,320,3,2150000,0.00,Brook Insurance Associates LLC,paused,0.94%,2021-11-07
Driving direction,252,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-02
Sitelink,20,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-01
Get location details,66,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-18
Maps Pin Clicks,45,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-07
Headline,60,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-26
Phone calls,16,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-16
Phone calls,234,8,8696708,0.00,Brook Insurance Associates LLC,paused,3.42%,2021-11-27
Get location details,265,2,1595965,0.00,Brook Insurance Associates LLC,paused,0.75%,2021-11-05
Phone calls,76,2,2254591,0.00,Brook Insurance Associates LLC,paused,2.63%,2021-11-21
Maps Pin Clicks,22,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-05
Get location details,395,3,3033260,0.00,Brook Insurance Associates LLC,paused,0.76%,2021-11-11
Sitelink,7,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-16
Phone calls,220,5,13845312,0.00,Brook Insurance Associates LLC,paused,2.27%,2021-11-22
Headline,107,3,9640000,0.00,Brook Insurance Associates LLC,paused,2.80%,2021-11-16
Driving direction,11,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-26
Driving direction,215,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-07
Phone calls,16,2,24380414,0.00,Brook Insurance Associates LLC,paused,12.50%,2021-11-26
Get location details,120,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-01
Get location details,247,3,894118,0.00,Brook Insurance Associates LLC,paused,1.21%,2021-11-19
Driving direction,16,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-30
Get location details,21,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-26
Headline,106,1,3650000,0.00,Brook Insurance Associates LLC,paused,0.94%,2021-11-03
Maps Pin Clicks,6,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-09
Phone calls,180,8,8569966,0.00,Brook Insurance Associates LLC,paused,4.44%,2021-11-17
Sitelink,13,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-12
Headline,235,3,1530000,0.00,Brook Insurance Associates LLC,paused,1.28%,2021-11-14
Sitelink,15,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-07
Get location details,320,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-10
Get location details,12,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-09
Headline,120,1,2740000,0.00,Brook Insurance Associates LLC,paused,0.83%,2021-11-20
Maps Pin Clicks,16,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-17
Sitelink,2,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-20
Maps Pin Clicks,58,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-12
Phone calls,259,7,8850137,0.00,Brook Insurance Associates LLC,paused,2.70%,2021-11-02
Maps Pin Clicks,116,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-22
Driving direction,220,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-23
Driving direction,213,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-05
Sitelink,22,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-11
Sitelink,6,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-28
Driving direction,91,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-15
Sitelink,17,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-02
Maps Pin Clicks,46,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-03
Driving direction,58,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-21
Get location details,200,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-06
Phone calls,23,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-03
Headline,149,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-13
Sitelink,17,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-21
Sitelink,19,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-03
Headline,53,1,4780000,0.00,Brook Insurance Associates LLC,paused,1.89%,2021-11-30
Maps Pin Clicks,163,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-23
Phone calls,74,1,1240051,0.00,Brook Insurance Associates LLC,paused,1.35%,2021-11-25
Get location details,311,1,4902409,0.00,Brook Insurance Associates LLC,paused,0.32%,2021-11-22
Phone calls,258,7,9715738,1.00,Brook Insurance Associates LLC,paused,2.71%,2021-11-08
Driving direction,222,1,11000000,1.00,Brook Insurance Associates LLC,paused,0.45%,2021-11-22
Headline,259,2,3610000,0.00,Brook Insurance Associates LLC,paused,0.77%,2021-11-12
Get location details,31,1,5200000,1.00,Brook Insurance Associates LLC,paused,3.23%,2021-11-13
Headline,88,1,1830000,1.00,Brook Insurance Associates LLC,paused,1.14%,2021-11-18
Phone calls,97,3,15030990,1.00,Brook Insurance Associates LLC,paused,3.09%,2021-11-01
Headline,499,2,6850000,1.00,Brook Insurance Associates LLC,paused,0.40%,2021-11-11
Phone calls,5,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-28
Get location details,97,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-14
Driving direction,203,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-17
Headline,467,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-22
Get location details,248,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-27
Sitelink,3,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-17
Get location details,83,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-20
Sitelink,12,1,1770000,0.00,Brook Insurance Associates LLC,paused,8.33%,2021-11-06
Maps Pin Clicks,49,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-04
Headline,55,2,8590000,0.00,Brook Insurance Associates LLC,paused,3.64%,2021-11-28
Get location details,35,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-03
Maps Pin Clicks,97,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-15
Maps Pin Clicks,54,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-11
Driving direction,60,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-04
Driving direction,86,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-14
Phone calls,86,7,13223364,0.00,Brook Insurance Associates LLC,paused,8.14%,2021-11-15
Get location details,159,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-12
Phone calls,220,8,7205317,0.00,Brook Insurance Associates LLC,paused,3.64%,2021-11-07
Sitelink,4,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-26
