"AD_PERFORMANCE_REPORT (Mar 1, 2022-Mar 31, 2022)"
Ad,Headline 1,Headline 2,Expanded Text Ad Headline 3,Display URL,Description,Description line 1,Description line 2,Ad type,Ad ID,Impressions,Clicks,Cost,Conversions,Responsive Search Ad headlines,Responsive Search Ad descriptions,Responsive Search Ad path 1,Responsive Search Ad path 2,Expanded Text Ad Description 2,Expanded Dynamic Search Ad Description 2,Final URL,Path 1,Path 2,Long headline,Headlines (multi asset responsive display),Long headline (multi asset responsive display),Descriptions (multi asset responsive display),CTR,Day
,Shop For Life Size Cutouts,Free Product Personalisation,Upload Your Own Photo,,"All Of Our Products Are Perfect For Birthdays, Weddings, Graduations & Baby Showers",,,Expanded text ad,556449702708,1,0,0,0.00, --, --, --, --,Over 700 Bespoke Designs to Choose From. 20% Off Your First Order. Order Online Now!, --,"[""https://www.allpersonalization.com/products/personalized-cardboard-life-size-cutouts""]",personalized,cardboard, --, --, --, --,0.00%,2022-03-01
, --, --, --,, --,,,Responsive search ad,578450297174,103,8,7260000,0.00,"[{""assetText"":""Custom Life Size Cutouts"",""assetId"":20714108878,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Cardboard Cutouts"",""assetId"":18661344170,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Allpersonalization"",""assetId"":20714108863,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Life Size Cutouts"",""assetId"":18124022896,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Cutouts"",""assetId"":20714108866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""10 % Off on First Order"",""assetId"":20714108869,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Ground Shipping"",""assetId"":18291694962,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Life Size Cutout"",""assetId"":20714108872,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Standee"",""assetId"":20714108881,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Life Size Poster Cutout"",""assetId"":20714108884,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""We make top class life size custom cardboard cutouts that are made from your photos!"",""assetId"":20714108887,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Great cutouts for schools, parties, weddings, anniversaries, sporting events & many more"",""assetId"":20714108875,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",lifesize cutout, --, --, --,"[""https://www.allpersonalization.com/products/personalized-cardboard-life-size-cutouts""]", --, --, --, --, --, --,7.77%,2022-03-04
, --, --, --,, --,,,Responsive search ad,578450297174,101,11,7730000,1.00,"[{""assetText"":""Custom Life Size Cutouts"",""assetId"":20714108878,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Cardboard Cutouts"",""assetId"":18661344170,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Allpersonalization"",""assetId"":20714108863,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Life Size Cutouts"",""assetId"":18124022896,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Cutouts"",""assetId"":20714108866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""10 % Off on First Order"",""assetId"":20714108869,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Ground Shipping"",""assetId"":18291694962,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Life Size Cutout"",""assetId"":20714108872,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Standee"",""assetId"":20714108881,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Life Size Poster Cutout"",""assetId"":20714108884,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""We make top class life size custom cardboard cutouts that are made from your photos!"",""assetId"":20714108887,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Great cutouts for schools, parties, weddings, anniversaries, sporting events & many more"",""assetId"":20714108875,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",lifesize cutout, --, --, --,"[""https://www.allpersonalization.com/products/personalized-cardboard-life-size-cutouts""]", --, --, --, --, --, --,10.89%,2022-03-05
, --, --, --,, --,,,Responsive search ad,556449702705,1,1,220000,0.00,"[{""assetText"":""Shop For Life Size Cutouts"",""assetId"":18124022860,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Life-Size Cut Out"",""assetId"":18069197620,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Quick Product Turn Around"",""assetId"":17994850186,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""20% Off First Order"",""assetId"":17994850162,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Upload Your Own Photon Service"",""assetId"":18671239995,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Live Previews On All Products"",""assetId"":17994850183,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Product Personalization"",""assetId"":18667833925,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Available As Foam & Coroplast"",""assetId"":18661344167,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""2-5 Day Delivery Time"",""assetId"":18671239998,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Discover Our Range Of Personalized Party Favors Including Candy, Coasters, Huggers & More"",""assetId"":17994850165,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""All Of Our Products Are Perfect For Birthdays, Weddings, Graduations & Baby Showers"",""assetId"":17994850174,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We Are Happy To Answer All Questions & Queries You May Have. Purchase Online Now!"",""assetId"":17994850168,""pinnedField"":""DESCRIPTION_2"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",personalized,cardboard, --, --,"[""https://www.allpersonalization.com/products/personalized-cardboard-life-size-cutouts""]", --, --, --, --, --, --,100.00%,2022-03-07
, --, --, --,, --,,,Responsive search ad,556449702705,2,0,0,0.00,"[{""assetText"":""Shop For Life Size Cutouts"",""assetId"":18124022860,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Life-Size Cut Out"",""assetId"":18069197620,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Quick Product Turn Around"",""assetId"":17994850186,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""20% Off First Order"",""assetId"":17994850162,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Upload Your Own Photon Service"",""assetId"":18671239995,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Live Previews On All Products"",""assetId"":17994850183,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Product Personalization"",""assetId"":18667833925,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Available As Foam & Coroplast"",""assetId"":18661344167,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""2-5 Day Delivery Time"",""assetId"":18671239998,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Discover Our Range Of Personalized Party Favors Including Candy, Coasters, Huggers & More"",""assetId"":17994850165,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""All Of Our Products Are Perfect For Birthdays, Weddings, Graduations & Baby Showers"",""assetId"":17994850174,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We Are Happy To Answer All Questions & Queries You May Have. Purchase Online Now!"",""assetId"":17994850168,""pinnedField"":""DESCRIPTION_2"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",personalized,cardboard, --, --,"[""https://www.allpersonalization.com/products/personalized-cardboard-life-size-cutouts""]", --, --, --, --, --, --,0.00%,2022-03-14
, --, --, --,,"Get Personalized Cardboard Cutouts perfect for every occasion like a birthday, wedding.",,,Expanded dynamic search ad,587154636874,24,3,4560000,0.00, --, --, --, --, --,Starts @ 19.99 Just Upload Your Photo specify the height and you are Good to Go., --, --, --, --, --, --, --,12.50%,2022-03-16
, --, --, --,,"Get Personalized Cardboard Cutouts perfect for every occasion like a birthday, wedding.",,,Expanded dynamic search ad,587154636874,45,1,3550000,2.00, --, --, --, --, --,Starts @ 19.99 Just Upload Your Photo specify the height and you are Good to Go., --, --, --, --, --, --, --,2.22%,2022-03-17
, --, --, --,, --,,,Responsive search ad,578450297174,20,2,5180000,0.00,"[{""assetText"":""Custom Life Size Cutouts"",""assetId"":20714108878,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Cardboard Cutouts"",""assetId"":18661344170,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Allpersonalization"",""assetId"":20714108863,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Life Size Cutouts"",""assetId"":18124022896,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Cutouts"",""assetId"":20714108866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""10 % Off on First Order"",""assetId"":20714108869,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Ground Shipping"",""assetId"":18291694962,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Life Size Cutout"",""assetId"":20714108872,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Standee"",""assetId"":20714108881,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Life Size Poster Cutout"",""assetId"":20714108884,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""We make top class life size custom cardboard cutouts that are made from your photos!"",""assetId"":20714108887,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Great cutouts for schools, parties, weddings, anniversaries, sporting events & many more"",""assetId"":20714108875,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",lifesize cutout, --, --, --,"[""https://www.allpersonalization.com/products/personalized-cardboard-life-size-cutouts""]", --, --, --, --, --, --,10.00%,2022-03-17
, --, --, --,, --,,,Responsive search ad,556449702705,2,0,0,0.00,"[{""assetText"":""Shop For Life Size Cutouts"",""assetId"":18124022860,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Life-Size Cut Out"",""assetId"":18069197620,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Quick Product Turn Around"",""assetId"":17994850186,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""20% Off First Order"",""assetId"":17994850162,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Upload Your Own Photon Service"",""assetId"":18671239995,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Live Previews On All Products"",""assetId"":17994850183,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Product Personalization"",""assetId"":18667833925,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Available As Foam & Coroplast"",""assetId"":18661344167,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""2-5 Day Delivery Time"",""assetId"":18671239998,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Discover Our Range Of Personalized Party Favors Including Candy, Coasters, Huggers & More"",""assetId"":17994850165,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""All Of Our Products Are Perfect For Birthdays, Weddings, Graduations & Baby Showers"",""assetId"":17994850174,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We Are Happy To Answer All Questions & Queries You May Have. Purchase Online Now!"",""assetId"":17994850168,""pinnedField"":""DESCRIPTION_2"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",personalized,cardboard, --, --,"[""https://www.allpersonalization.com/products/personalized-cardboard-life-size-cutouts""]", --, --, --, --, --, --,0.00%,2022-03-18
, --, --, --,, --,,,Responsive search ad,578450297174,11,0,0,0.00,"[{""assetText"":""Custom Life Size Cutouts"",""assetId"":20714108878,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Cardboard Cutouts"",""assetId"":18661344170,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Allpersonalization"",""assetId"":20714108863,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Personalized Life Size Cutouts"",""assetId"":18124022896,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Cutouts"",""assetId"":20714108866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""10 % Off on First Order"",""assetId"":20714108869,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Ground Shipping"",""assetId"":18291694962,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Life Size Cutout"",""assetId"":20714108872,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Standee"",""assetId"":20714108881,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Life Size Poster Cutout"",""assetId"":20714108884,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""We make top class life size custom cardboard cutouts that are made from your photos!"",""assetId"":20714108887,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Great cutouts for schools, parties, weddings, anniversaries, sporting events & many more"",""assetId"":20714108875,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",lifesize cutout, --, --, --,"[""https://www.allpersonalization.com/products/personalized-cardboard-life-size-cutouts""]", --, --, --, --, --, --,0.00%,2022-03-19
