"KEYWORDS_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Keyword,Keyword ID,Impressions,Clicks,Cost,Conversions,CTR,Day,First page CPC,First position CPC
personalized life size cutout,361738266604,11,1,1510000,0.00,9.09%,2022-04-05,0, --
life size cutouts,298447054069,11,1,660000,0.00,9.09%,2022-04-08,0, --
life size cardboard cutout,1441907722,7,0,0,0.00,0.00%,2022-04-16,0, --
personalized life size cutout,361738266604,6,0,0,0.00,0.00%,2022-04-22,0, --
life size cutouts,298447054069,4,0,0,0.00,0.00%,2022-04-24,0, --
cardboard cut out person,420330862743,10,0,0,0.00,0.00%,2022-04-24,0, --
cardboard cut out person,420330862743,2,1,1700000,0.00,50.00%,2022-04-25,0, --
cardboard cutout of myself,339594986060,1,0,0,0.00,0.00%,2022-04-28,0, --
cardboard cutout of myself,339594986060,4,2,800000,0.00,50.00%,2022-04-30,0, --
life size cutouts,298447054069,5,0,0,0.00,0.00%,2022-04-03,0, --
personalized life size cutout,361738266604,2,0,0,0.00,0.00%,2022-04-14,0, --
life size cardboard cutout,1441907722,3,0,0,0.00,0.00%,2022-04-17,0, --
life size cardboard cutout near me,1600342845758,1,0,0,0.00,0.00%,2022-04-30,0, --
life size cardboard cutout,1441907722,2,0,0,0.00,0.00%,2022-04-03,0, --
life size cutouts,298447054069,10,0,0,0.00,0.00%,2022-04-05,0, --
life size cardboard cutout near me,1600342845758,4,0,0,0.00,0.00%,2022-04-05,0, --
personalized life size cutout,361738266604,16,0,0,0.00,0.00%,2022-04-07,0, --
life size cardboard cutout,1441907722,2,0,0,0.00,0.00%,2022-04-07,0, --
life size standee,339411873,1,0,0,0.00,0.00%,2022-04-09,0, --
life size cardboard cutout,1441907722,2,0,0,0.00,0.00%,2022-04-13,0, --
cardboard cutout of myself,339594986060,3,1,900000,0.00,33.33%,2022-04-16,0, --
cardboard cutout of myself,339594986060,1,0,0,0.00,0.00%,2022-04-22,0, --
cardboard cut out person,420330862743,4,0,0,0.00,0.00%,2022-04-19,0, --
life size cardboard cutout,1441907722,1,0,0,0.00,0.00%,2022-04-28,0, --
life size cardboard cutout,1441907722,4,0,0,0.00,0.00%,2022-04-01,0, --
personalized life size cutout,361738266604,2,0,0,0.00,0.00%,2022-04-04,0, --
personalized life size cutout,361738266604,6,1,1550000,0.00,16.67%,2022-04-08,0, --
life size cutouts,298447054069,19,0,0,0.00,0.00%,2022-04-09,0, --
personalized life size cutout,361738266604,8,1,3620000,0.00,12.50%,2022-04-11,0, --
life size standee,339411873,3,0,0,0.00,0.00%,2022-04-16,0, --
personalized life size cutout,361738266604,12,2,2690000,0.00,16.67%,2022-04-19,0, --
cardboard cut out person,420330862743,5,0,0,0.00,0.00%,2022-04-21,0, --
cardboard cut out person,420330862743,1,0,0,0.00,0.00%,2022-04-22,0, --
life size standee,339411873,3,0,0,0.00,0.00%,2022-04-23,0, --
cardboard cut out person,420330862743,7,1,360000,0.00,14.29%,2022-04-23,0, --
life size standee,339411873,4,0,0,0.00,0.00%,2022-04-26,0, --
life size cutouts,298447054069,3,0,0,0.00,0.00%,2022-04-26,0, --
life size cardboard cutout,1441907722,1,0,0,0.00,0.00%,2022-04-27,0, --
life size cardboard cutout,1441907722,5,1,860000,0.00,20.00%,2022-04-02,0, --
life size standee,339411873,1,0,0,0.00,0.00%,2022-04-05,0, --
life size cardboard cutout,1441907722,10,0,0,0.00,0.00%,2022-04-06,0, --
personalized life size cutout,361738266604,3,0,0,0.00,0.00%,2022-04-15,0, --
cardboard cut out person,420330862743,3,0,0,0.00,0.00%,2022-04-18,0, --
life size standee,339411873,1,0,0,0.00,0.00%,2022-04-08,0, --
personalized life size cutout,361738266604,7,0,0,0.00,0.00%,2022-04-10,0, --
cardboard cut out person,420330862743,5,0,0,0.00,0.00%,2022-04-16,0, --
cardboard cut out person,420330862743,1,0,0,0.00,0.00%,2022-04-17,0, --
cardboard cutout of myself,339594986060,3,0,0,0.00,0.00%,2022-04-19,0, --
personalized life size cutout,361738266604,7,0,0,0.00,0.00%,2022-04-27,0, --
cardboard cut out person,420330862743,13,3,4200000,0.00,23.08%,2022-04-27,0, --
life size cutouts,298447054069,1,0,0,0.00,0.00%,2022-04-28,0, --
life size cardboard cutout,1441907722,2,0,0,0.00,0.00%,2022-04-08,0, --
life size cutouts,298447054069,5,0,0,0.00,0.00%,2022-04-23,0, --
cardboard cutout of myself,339594986060,1,0,0,0.00,0.00%,2022-04-25,0, --
personalized life size cutout,361738266604,3,0,0,0.00,0.00%,2022-04-28,0, --
life size cardboard cutout,1441907722,2,1,740000,0.00,50.00%,2022-04-30,0, --
personalized life size cutout,361738266604,5,0,0,0.00,0.00%,2022-04-12,0, --
life size cutouts,298447054069,3,0,0,0.00,0.00%,2022-04-17,0, --
life size cutouts,298447054069,3,0,0,0.00,0.00%,2022-04-25,0, --
personalized life size cutout,361738266604,6,0,0,0.00,0.00%,2022-04-25,0, --
personalized life size cutout,361738266604,3,0,0,0.00,0.00%,2022-04-26,0, --
life size cutouts,298447054069,6,0,0,0.00,0.00%,2022-04-27,0, --
life size cutouts,298447054069,1,0,0,0.00,0.00%,2022-04-30,0, --
life size cutouts,298447054069,8,0,0,0.00,0.00%,2022-04-02,0, --
life size standee,339411873,2,0,0,0.00,0.00%,2022-04-04,0, --
life size cardboard cutout,1441907722,2,1,640000,0.00,50.00%,2022-04-14,0, --
life size cardboard cutout,1441907722,1,0,0,0.00,0.00%,2022-04-15,0, --
life size cutouts,298447054069,8,0,0,0.00,0.00%,2022-04-16,0, --
cardboard cutout of myself,339594986060,1,0,0,0.00,0.00%,2022-04-21,0, --
cardboard cutout of myself,339594986060,2,0,0,0.00,0.00%,2022-04-24,0, --
life size standee,339411873,2,1,1300000,0.00,50.00%,2022-04-02,0, --
