"KEYWORDS_PERFORMANCE_REPORT (May 1, 2022-May 23, 2022)"
Keyword,Keyword ID,Impressions,Clicks,Cost,Conversions,CTR,Day,First page CPC,First position CPC
Content,3000000,78,0,0,0.00,0.00%,2022-05-02,0, --
tanning places near me,295387210062,1,0,0,0.00,0.00%,2022-05-04,0, --
spray tan,109641802,27,1,1950000,0.00,3.70%,2022-05-06,0, --
Content,3000000,5,1,686021,0.00,20.00%,2022-05-12,0, --
spray tan,109641802,32,3,5720000,0.00,9.38%,2022-05-13,0, --
fake tan,22384901,2,0,0,0.00,0.00%,2022-05-14,0, --
spray tan near me,297398646628,12,0,0,0.00,0.00%,2022-05-14,0, --
good fake tan,294704127776,3,0,0,0.00,0.00%,2022-05-17,0, --
good fake tan,294704127776,1,0,0,0.00,0.00%,2022-05-18,0, --
tanning,22384911,16,4,2120000,0.00,25.00%,2022-05-18,0, --
Content,3000000,325,3,1336313,0.00,0.92%,2022-05-18,0, --
best spray tan near me,297398624108,2,0,0,0.00,0.00%,2022-05-02,0, --
tanning,22384911,8,1,1000000,0.00,12.50%,2022-05-04,0, --
spray tan,109641802,44,4,7660000,0.00,9.09%,2022-05-05,0, --
fake tan,22384901,2,0,0,0.00,0.00%,2022-05-06,0, --
spray tan,109641802,27,5,9570000,0.00,18.52%,2022-05-14,0, --
Content,3000000,83,0,0,0.00,0.00%,2022-05-14,0, --
spray tan,109641802,17,0,0,0.00,0.00%,2022-05-21,0, --
tanning,22384911,1,0,0,0.00,0.00%,2022-05-23,0, --
spray tan near me,297398646628,4,0,0,0.00,0.00%,2022-05-03,0, --
spray tan near me,297398646628,12,1,1820000,0.00,8.33%,2022-05-06,0, --
tanning,22384911,14,3,1610000,0.00,21.43%,2022-05-06,0, --
spray tan,109641802,19,1,1990000,0.00,5.26%,2022-05-09,0, --
spray tan,109641802,20,2,3850000,0.00,10.00%,2022-05-10,0, --
fake tan,22384901,2,0,0,0.00,0.00%,2022-05-15,0, --
Content,3000000,230,8,3046861,0.00,3.48%,2022-05-15,0, --
fake tan,22384901,3,0,0,0.00,0.00%,2022-05-16,0, --
spray tan near me,297398646628,7,0,0,0.00,0.00%,2022-05-02,0, --
spray tan,109641802,19,2,3930000,0.00,10.53%,2022-05-04,0, --
tanning places near me,295387210062,1,0,0,0.00,0.00%,2022-05-06,0, --
best spray tan near me,297398624108,2,0,0,0.00,0.00%,2022-05-08,0, --
tanning,22384911,16,2,1980000,0.00,12.50%,2022-05-09,0, --
Content,3000000,408,2,1138393,0.00,0.49%,2022-05-13,0, --
tanning,22384911,24,1,110000,0.00,4.17%,2022-05-16,0, --
spray tan,109641802,2,0,0,0.00,0.00%,2022-05-23,0, --
