"CAMPAIGN_PERFORMANCE_REPORT (May 1, 2022-May 23, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Phone calls,44,1,940000,1.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.27%,2022-05-05
Phone calls,26,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-13
Headline,99,7,9830000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,7.07%,2022-05-18
Headline,57,5,8800000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,8.77%,2022-05-10
Sitelink,93,2,1990000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.15%,2022-05-17
Phone calls,24,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-10
Headline,1075,9,4872710,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,0.84%,2022-05-20
Phone calls,35,1,2000000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.86%,2022-05-20
Phone calls,5,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-19
Headline,122,5,8430000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,4.10%,2022-05-17
Phone calls,16,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-04
Sitelink,29,1,1970000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,3.45%,2022-05-03
Sitelink,101,1,1940000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.99%,2022-05-05
Headline,924,9,5707264,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,0.97%,2022-05-13
Phone calls,17,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-02
Headline,4,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-23
Headline,465,11,5785633,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,2.37%,2022-05-06
Headline,90,2,3760000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.22%,2022-05-07
Headline,198,10,5297319,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,5.05%,2022-05-03
Headline,621,13,5388011,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,2.09%,2022-05-02
Sitelink,69,4,6110000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,5.80%,2022-05-07
Phone calls,10,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-03
Sitelink,2,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-23
Phone calls,30,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-18
Sitelink,48,2,3000000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,4.17%,2022-05-12
Phone calls,26,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-21
Headline,42,5,8930000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,11.90%,2022-05-03
Headline,68,3,2850000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,4.41%,2022-05-13
Headline,101,6,8890000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,5.94%,2022-05-08
Phone calls,2,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-23
Sitelink,40,2,2990000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,5.00%,2022-05-02
Phone calls,51,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-16
Headline,60,5,8090000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,8.33%,2022-05-12
Sitelink,77,1,1880000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,1.30%,2022-05-08
Phone calls,35,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-07
Headline,966,7,3566741,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,0.72%,2022-05-18
Sitelink,45,1,1860000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.22%,2022-05-15
Headline,1515,9,4922121,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,0.59%,2022-05-19
Phone calls,33,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-08
Headline,442,12,5052799,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,2.71%,2022-05-08
Headline,175,10,5540181,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,5.71%,2022-05-04
Headline,60,5,9570000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,8.33%,2022-05-15
Sitelink,67,2,3850000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.99%,2022-05-20
Phone calls,46,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-17
Headline,98,3,4700000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,3.06%,2022-05-22
Sitelink,63,4,5920000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,6.35%,2022-05-06
Headline,286,7,5189121,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,2.45%,2022-05-05
Phone calls,29,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-22
Sitelink,41,1,1880000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.44%,2022-05-04
Phone calls,34,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-14
Sitelink,44,1,1850000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.27%,2022-05-10
Headline,64,5,7860000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,7.81%,2022-05-09
Sitelink,30,1,930000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,3.33%,2022-05-11
Headline,553,13,4720953,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,2.35%,2022-05-15
Phone calls,18,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-12
Phone calls,42,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-01
Headline,204,10,5765185,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,4.90%,2022-05-12
Headline,137,5,8610000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,3.65%,2022-05-05
Headline,357,9,5591902,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,2.52%,2022-05-11
Sitelink,59,4,6670000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,6.78%,2022-05-13
Headline,49,5,7250000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,10.20%,2022-05-02
Headline,109,6,7740000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,5.50%,2022-05-01
Headline,82,4,5240000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,4.88%,2022-05-06
Headline,484,11,5053335,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,2.27%,2022-05-07
Headline,702,10,4317362,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,1.42%,2022-05-21
Headline,624,8,5393532,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,1.28%,2022-05-01
Sitelink,74,3,4680000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,4.05%,2022-05-22
Headline,37,6,9690000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,16.22%,2022-05-11
Headline,30,5,7280000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,16.67%,2022-05-19
Headline,123,4,6070000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,3.25%,2022-05-16
Headline,370,13,5954851,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,3.51%,2022-05-09
Sitelink,99,3,4810000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,3.03%,2022-05-16
Sitelink,74,1,110000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,1.35%,2022-05-18
Headline,90,3,2850000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,3.33%,2022-05-20
Headline,1228,10,4931684,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,0.81%,2022-05-17
Phone calls,23,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-15
Phone calls,13,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-11
Headline,50,5,8820000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,10.00%,2022-05-04
Headline,84,2,2060000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.38%,2022-05-14
Headline,652,9,4436871,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,1.38%,2022-05-22
Headline,51,6,11520000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,11.76%,2022-05-21
Headline,1567,13,5274909,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,0.83%,2022-05-16
Sitelink,39,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-21
Sitelink,49,2,3910000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,4.08%,2022-05-09
Headline,221,11,5287905,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,4.98%,2022-05-10
Sitelink,69,5,8140000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,7.25%,2022-05-14
Headline,301,12,5352232,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,3.99%,2022-05-14
Phone calls,36,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-06
Sitelink,24,1,1640000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,4.17%,2022-05-19
Headline,603,1,876256,0.00,LUDS Afterglow Tan Display-Feb 2022,paused,0.17%,2022-05-23
Sitelink,94,2,3730000,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,2.13%,2022-05-01
Phone calls,15,0,0,0.00,LUDS Afterglow Tanning - Search Feb 2022,paused,0.00%,2022-05-09
Total, --, --, --, --, --, --, --, --
