"AD_PERFORMANCE_REPORT (Jan 1, 2022-Jan 31, 2022)"
Ad,Headline 1,Headline 2,Expanded Text Ad Headline 3,Display URL,Description,Description line 1,Description line 2,Ad type,Ad ID,Impressions,Clicks,Cost,Conversions,Responsive Search Ad headlines,Responsive Search Ad descriptions,Responsive Search Ad path 1,Responsive Search Ad path 2,Expanded Text Ad Description 2,Expanded Dynamic Search Ad Description 2,Final URL,Path 1,Path 2,Long headline,Headlines (multi asset responsive display),Long headline (multi asset responsive display),Descriptions (multi asset responsive display),CTR,Day
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,1,0,0,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,0.00%,2022-01-19
,In Home Nursing Care Services,Get Nursing Care At Home,"Consult Us, Easy and Free.",,In Home Nursing Care Services. Trained and Experienced Nurses. Book Free Consultation 24/7,,,Expanded text ad,533864791193,2,0,0,0.00, --, --, --, --,Freedom from Hospital. Recover in the Comfort of Your Home Under Nursing Care. Call Us., --,"[""https://www.traditionshhs.com/""]",home care,service, --, --, --, --,0.00%,2022-01-29
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,1,0,0,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,0.00%,2022-01-14
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,1,0,0,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,0.00%,2022-01-03
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,2,1,1740000,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,50.00%,2022-01-06
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,1,0,0,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,0.00%,2022-01-12
,In Home Nursing Care Services,Get Nursing Care At Home,"Consult Us, Easy and Free.",,In Home Nursing Care Services. Trained and Experienced Nurses. Book Free Consultation 24/7,,,Expanded text ad,533864791193,2,0,0,0.00, --, --, --, --,Freedom from Hospital. Recover in the Comfort of Your Home Under Nursing Care. Call Us., --,"[""https://www.traditionshhs.com/""]",home care,service, --, --, --, --,0.00%,2022-01-30
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,1,0,0,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,0.00%,2022-01-08
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,1,0,0,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,0.00%,2022-01-13
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,1,0,0,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,0.00%,2022-01-09
,Traditional Home Health Care,Traditions Home Health Agency,Download Homecare Checklist,,Traditional Home Health Care. Trusted and Trained Caregivers. Book Free Consultation.,,,Expanded text ad,533687736858,3,0,0,0.00, --, --, --, --,We are Joy Ambassadors. Hire for Non-Medical/Medical Assistance. Fast and Easy. Call us., --,"[""https://www.traditionshhs.com/""]",Home Health,Agency, --, --, --, --,0.00%,2022-01-16
,In Home Nursing Care Services,Get Nursing Care At Home,"Consult Us, Easy and Free.",,In Home Nursing Care Services. Trained and Experienced Nurses. Book Free Consultation 24/7,,,Expanded text ad,533864791193,1,0,0,0.00, --, --, --, --,Freedom from Hospital. Recover in the Comfort of Your Home Under Nursing Care. Call Us., --,"[""https://www.traditionshhs.com/""]",home care,service, --, --, --, --,0.00%,2022-01-31
