"CAMPAIGN_PERFORMANCE_REPORT (Feb 1, 2022-Feb 28, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Headline,194,6,18040000,1.00,home health services,enabled,3.09%,2022-02-13
Headline,212,9,27610000,0.00,home health services,enabled,4.25%,2022-02-17
Sitelink,116,2,6350000,1.00,home health services,enabled,1.72%,2022-02-07
Get location details,76,1,2980000,1.00,home health services,enabled,1.32%,2022-02-03
Get location details,37,1,2860000,0.00,home health services,enabled,2.70%,2022-02-05
Sitelink,134,3,10070000,1.00,home health services,enabled,2.24%,2022-02-25
Driving direction,46,0,0,0.00,home health services,enabled,0.00%,2022-02-01
Driving direction,32,0,0,0.00,home health services,enabled,0.00%,2022-02-28
Phone calls,43,0,0,0.00,home health services,enabled,0.00%,2022-02-05
Driving direction,62,0,0,0.00,home health services,enabled,0.00%,2022-02-22
Sitelink,104,3,8790000,0.00,home health services,enabled,2.88%,2022-02-15
Get location details,58,1,1200000,0.00,home health services,enabled,1.72%,2022-02-26
Sitelink,174,1,2970000,0.00,home health services,enabled,0.57%,2022-02-09
Image extension,42,0,0,0.00,home health services,enabled,0.00%,2022-02-05
Image extension,106,0,0,0.00,home health services,enabled,0.00%,2022-02-14
Image extension,36,0,0,0.00,home health services,enabled,0.00%,2022-02-27
Image extension,56,0,0,0.00,home health services,enabled,0.00%,2022-02-07
Driving direction,44,0,0,0.00,home health services,enabled,0.00%,2022-02-07
Get location details,81,0,0,0.00,home health services,enabled,0.00%,2022-02-15
Phone calls,107,0,0,0.00,home health services,enabled,0.00%,2022-02-11
Headline,123,3,11470000,0.00,home health services,enabled,2.44%,2022-02-27
Image extension,63,0,0,0.00,home health services,enabled,0.00%,2022-02-04
Get location details,68,0,0,0.00,home health services,enabled,0.00%,2022-02-19
Driving direction,33,0,0,0.00,home health services,enabled,0.00%,2022-02-06
Image extension,47,0,0,0.00,home health services,enabled,0.00%,2022-02-02
Driving direction,44,0,0,0.00,home health services,enabled,0.00%,2022-02-10
Driving direction,34,0,0,0.00,home health services,enabled,0.00%,2022-02-13
Phone calls,34,0,0,0.00,home health services,enabled,0.00%,2022-02-27
Phone calls,55,0,0,0.00,home health services,enabled,0.00%,2022-02-13
Headline,166,6,18370000,0.00,home health services,enabled,3.61%,2022-02-28
Driving direction,15,0,0,0.00,home health services,enabled,0.00%,2022-02-05
Get location details,64,0,0,0.00,home health services,enabled,0.00%,2022-02-16
Headline,275,6,16280000,0.00,home health services,enabled,2.18%,2022-02-02
Phone calls,59,0,0,0.00,home health services,enabled,0.00%,2022-02-23
Get location details,55,1,4270000,0.00,home health services,enabled,1.82%,2022-02-28
Phone calls,55,0,0,0.00,home health services,enabled,0.00%,2022-02-07
Phone calls,68,0,0,0.00,home health services,enabled,0.00%,2022-02-08
Sitelink,90,2,7290000,0.00,home health services,enabled,2.22%,2022-02-26
Image extension,61,0,0,0.00,home health services,enabled,0.00%,2022-02-13
Sitelink,121,2,5840000,0.00,home health services,enabled,1.65%,2022-02-10
Driving direction,55,0,0,0.00,home health services,enabled,0.00%,2022-02-09
Image extension,97,0,0,0.00,home health services,enabled,0.00%,2022-02-11
Image extension,58,0,0,0.00,home health services,enabled,0.00%,2022-02-22
Image extension,59,0,0,0.00,home health services,enabled,0.00%,2022-02-16
Headline,276,10,30510000,0.00,home health services,enabled,3.62%,2022-02-01
Get location details,78,0,0,0.00,home health services,enabled,0.00%,2022-02-01
Phone calls,58,0,0,0.00,home health services,enabled,0.00%,2022-02-16
Driving direction,51,0,0,0.00,home health services,enabled,0.00%,2022-02-04
Sitelink,134,3,11180000,0.00,home health services,enabled,2.24%,2022-02-08
Image extension,57,0,0,0.00,home health services,enabled,0.00%,2022-02-01
Image extension,52,0,0,0.00,home health services,enabled,0.00%,2022-02-06
Headline,376,7,23100000,0.00,home health services,enabled,1.86%,2022-02-14
Sitelink,156,3,10200000,1.00,home health services,enabled,1.92%,2022-02-02
Get location details,55,1,3020000,0.00,home health services,enabled,1.82%,2022-02-13
Phone calls,93,1,4230000,1.00,home health services,enabled,1.08%,2022-02-14
Get location details,87,0,0,0.00,home health services,enabled,0.00%,2022-02-04
Image extension,41,1,3030000,2.00,home health services,enabled,2.44%,2022-02-26
Phone calls,79,3,8620000,3.00,home health services,enabled,3.80%,2022-02-02
Phone calls,55,1,2100000,1.00,home health services,enabled,1.82%,2022-02-17
Headline,214,4,10210000,1.00,home health services,enabled,1.87%,2022-02-24
Headline,329,7,22590000,0.00,home health services,enabled,2.13%,2022-02-18
Phone calls,74,0,0,0.00,home health services,enabled,0.00%,2022-02-25
Phone calls,42,0,0,0.00,home health services,enabled,0.00%,2022-02-28
Headline,222,6,21040000,0.00,home health services,enabled,2.70%,2022-02-03
Get location details,94,0,0,0.00,home health services,enabled,0.00%,2022-02-09
