"CAMPAIGN_PERFORMANCE_REPORT (Oct 1, 2021-Oct 31, 2021)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners),All conv.
14210640129,Labels,61,7,32510131,1.00,2021-10-13,Mobile devices with full browsers,Search Network,Google search: Top,USD,32510131,11.48%,4644304,14.29%,1.00,4644304,532952967,Google search,1.00
14210640129,Labels,174,9,29033563,1.00,2021-10-22,Mobile devices with full browsers,Search Network,Google search: Top,USD,29033563,5.17%,3225951,11.11%,1.00,3225951,166859557,Google search,1.00
13943021994,Printing,1685,23,51745598,1.00,2021-10-28,Mobile devices with full browsers,Search Network,Google search: Top,USD,51745598,1.36%,2249809,4.35%,1.00,2249809,30709554,Google search,1.00
14210640129,Labels,141,7,26242807,1.00,2021-10-19,Mobile devices with full browsers,Search Network,Google search: Top,USD,26242807,4.96%,3748972,14.29%,1.00,3748972,186119199,Google search,1.00
14210640129,Labels,519,17,42275761,1.00,2021-10-28,Mobile devices with full browsers,Search Network,Google search: Top,USD,42275761,3.28%,2486809,5.88%,0.00,2486809,81456187,Google search,1.00
13943021994,Printing,99,0,0,0.00,2021-10-28,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,1,0,0,0.00,2021-10-28,Tablets with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14080442135,Call Only,5,0,0,0.00,2021-10-27,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14080442135,Call Only,109,2,14356600,0.00,2021-10-15,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,1.83%,7178300,0.00%,0.00,7178300,131711927,Google search,0.00
13943021994,Printing,4,0,0,0.00,2021-10-21,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,4,0,0,0.00,2021-10-14,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,6,0,0,0.00,2021-10-15,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,12,0,0,0.00,2021-10-28,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,204,6,24873757,0.00,2021-10-15,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,2.94%,4145626,0.00%,0.00,4145626,121930181,Google search,0.00
14080442135,Call Only,116,0,0,0.00,2021-10-20,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14080442135,Call Only,28,0,0,0.00,2021-10-20,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,53,1,750000,0.00,2021-10-21,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,1.89%,750000,0.00%,0.00,750000,14150943,Search partners,0.00
13943021994,Printing,5,0,0,0.00,2021-10-25,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,1,0,0,0.00,2021-10-25,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,4,0,0,0.00,2021-10-20,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,24,3,14730452,0.00,2021-10-15,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,12.50%,4910151,0.00%,0.00,4910151,613768833,Google search,0.00
14210640129,Labels,13,0,0,0.00,2021-10-14,Tablets with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,1,0,0,0.00,2021-10-13,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,44,2,2260000,0.00,2021-10-18,Computers,Search Network,Google search: Other,USD,0,4.55%,1130000,0.00%,0.00,1130000,51363636,Google search,0.00
13943021994,Printing,21,0,0,0.00,2021-10-22,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,7,1,3770000,0.00,2021-10-18,Computers,Search Network,Google search: Top,USD,0,14.29%,3770000,0.00%,0.00,3770000,538571429,Google search,0.00
14210640129,Labels,4,0,0,0.00,2021-10-13,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14080442135,Call Only,287,4,41508800,0.00,2021-10-13,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,1.39%,10377200,0.00%,0.00,10377200,144629965,Google search,0.00
14210640129,Labels,14,1,1020000,0.00,2021-10-21,Computers,Search Network,Google search: Top,USD,0,7.14%,1020000,0.00%,0.00,1020000,72857143,Google search,0.00
14080442135,Call Only,633,6,36073300,0.00,2021-10-26,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,0.95%,6012217,0.00%,0.00,6012217,56987836,Google search,0.00
14210640129,Labels,115,1,2360000,0.00,2021-10-14,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.87%,2360000,0.00%,0.00,2360000,20521739,Google search,0.00
14210640129,Labels,85,0,0,0.00,2021-10-15,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,1,0,0,0.00,2021-10-22,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,10,0,0,0.00,2021-10-26,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,1,0,0,0.00,2021-10-21,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,17,0,0,0.00,2021-10-26,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14080442135,Call Only,358,1,3124000,0.00,2021-10-12,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,0.28%,3124000,0.00%,0.00,3124000,8726257,Google search,0.00
14210640129,Labels,1,0,0,0.00,2021-10-19,Tablets with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,1,0,0,0.00,2021-10-15,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,51,2,8481111,0.00,2021-10-12,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,3.92%,4240556,0.00%,0.00,4240556,166296294,Google search,0.00
14210640129,Labels,27,0,0,0.00,2021-10-19,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,12,0,0,0.00,2021-10-19,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,8,2,1830000,0.00,2021-10-27,Computers,Search Network,Google search: Other,USD,0,25.00%,915000,0.00%,0.00,915000,228750000,Google search,0.00
13943021994,Printing,10,1,6350826,0.00,2021-10-12,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,10.00%,6350826,0.00%,0.00,6350826,635082600,Search partners,0.00
13943021994,Printing,23,0,0,0.00,2021-10-13,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,287,9,21670000,0.00,2021-10-20,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,3.14%,2407778,0.00%,0.00,2407778,75505226,Google search,0.00
14210640129,Labels,68,1,1390000,0.00,2021-10-19,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,1.47%,1390000,0.00%,0.00,1390000,20441176,Google search,0.00
13943021994,Printing,43,1,3220000,0.00,2021-10-25,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,2.33%,3220000,0.00%,0.00,3220000,74883721,Google search,0.00
14210640129,Labels,6,1,3660000,0.00,2021-10-27,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,16.67%,3660000,0.00%,0.00,3660000,610000000,Search partners,0.00
14080442135,Call Only,4,0,0,0.00,2021-10-29,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14080442135,Call Only,15,1,6674000,0.00,2021-10-15,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,6.67%,6674000,0.00%,0.00,6674000,444933333,Google search,0.00
14210640129,Labels,1,0,0,0.00,2021-10-12,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,69,0,0,0.00,2021-10-22,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,26,0,0,0.00,2021-10-12,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,105,1,1420000,0.00,2021-10-28,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.95%,1420000,0.00%,0.00,1420000,13523810,Search partners,0.00
14210640129,Labels,2,0,0,0.00,2021-10-15,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,63,0,0,0.00,2021-10-14,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,2,0,0,0.00,2021-10-14,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,27,1,2600000,0.00,2021-10-28,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,3.70%,2600000,0.00%,0.00,2600000,96296296,Search partners,0.00
14080442135,Call Only,48,0,0,0.00,2021-10-21,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,285,12,43635128,0.00,2021-10-26,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,4.21%,3636261,0.00%,0.00,3636261,153105712,Google search,0.00
13943021994,Printing,1,0,0,0.00,2021-10-26,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,13,0,0,0.00,2021-10-21,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14080442135,Call Only,58,0,0,0.00,2021-10-26,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,18,0,0,0.00,2021-10-13,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,91,0,0,0.00,2021-10-18,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,1,0,0,0.00,2021-10-26,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,3,0,0,0.00,2021-10-20,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14080442135,Call Only,8,0,0,0.00,2021-10-19,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14080442135,Call Only,21,0,0,0.00,2021-10-18,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,44,0,0,0.00,2021-10-19,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,15,0,0,0.00,2021-10-22,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,32,0,0,0.00,2021-10-28,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14080442135,Call Only,38,0,0,0.00,2021-10-25,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,17,0,0,0.00,2021-10-22,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,7,2,4339807,0.00,2021-10-29,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,28.57%,2169904,0.00%,0.00,2169904,619972429,Google search,0.00
13943021994,Printing,2,0,0,0.00,2021-10-12,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,125,0,0,0.00,2021-10-20,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
13943021994,Printing,10,0,0,0.00,2021-10-21,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,51,1,3660000,0.00,2021-10-20,Computers,Search Network,Google search: Other,USD,0,1.96%,3660000,0.00%,0.00,3660000,71764706,Google search,0.00
14210640129,Labels,2,0,0,0.00,2021-10-27,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14210640129,Labels,123,2,6980000,0.00,2021-10-20,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,1.63%,3490000,0.00%,0.00,3490000,56747967,Google search,0.00
14210640129,Labels,6,0,0,0.00,2021-10-29,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,21,0,0,0.00,2021-10-18,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,29,0,0,0.00,2021-10-20,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14080442135,Call Only,228,3,41002400,0.00,2021-10-25,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,1.32%,13667467,0.00%,0.00,13667467,179835088,Google search,0.00
13943021994,Printing,22,0,0,0.00,2021-10-26,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,5,0,0,0.00,2021-10-12,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
13943021994,Printing,10,0,0,0.00,2021-10-18,Mobile devices with full browsers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
14080442135,Call Only,18,1,6930000,0.00,2021-10-14,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,5.56%,6930000,0.00%,0.00,6930000,385000000,Google search,0.00
14080442135,Call Only,50,0,0,0.00,2021-10-27,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,134,0,0,0.00,2021-10-27,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,8,0,0,0.00,2021-10-12,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
14210640129,Labels,215,7,33402892,0.00,2021-10-27,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,3.26%,4771842,0.00%,0.00,4771842,155362288,Google search,0.00
