"KEYWORDS_PERFORMANCE_REPORT (Oct 1, 2021-Oct 31, 2021)"
Keyword,Keyword ID,Impressions,Clicks,Cost,Conversions,CTR,Day,First page CPC,First position CPC
direct mail,17882230,12,0,0,0.00,0.00%,2021-10-12,0, --
business mailers,775493981,3,0,0,3.00,0.00%,2021-10-12,0, --
mailing services near me,296202439643,45,0,0,0.00,0.00%,2021-10-12,0, --
mailing service near me,297308254448,35,0,0,0.00,0.00%,2021-10-12,0, --
direct mail printing,11893346,78,0,0,0.00,0.00%,2021-10-12,0, --
direct mail printing companies,118609035,40,0,0,0.00,0.00%,2021-10-12,0, --
direct mail brochure,283777177,11,0,0,0.00,0.00%,2021-10-12,0, --
coupon direct mail,303645715571,3,0,0,0.00,0.00%,2021-10-12,0, --
direct mail printing near me,666584516877,10,0,0,0.00,0.00%,2021-10-12,0, --
labeler,10831331,34,0,0,0.00,0.00%,2021-10-12,0, --
printing labels,13200590,39,2,5560000,0.00,5.13%,2021-10-12,0, --
label printing service,14278783,16,0,0,0.00,0.00%,2021-10-12,0, --
labeller,15409971,10,0,0,0.00,0.00%,2021-10-12,0, --
digital label printer,43560223,3,0,0,0.00,0.00%,2021-10-12,0, --
labels to print,742816266,61,1,1620000,0.00,1.64%,2021-10-12,0, --
labels for printing,986258187,17,0,0,0.00,0.00%,2021-10-12,0, --
print and label,4841214024,13,0,0,0.00,0.00%,2021-10-12,0, --
labelizer,295539896379,5,0,0,0.00,0.00%,2021-10-12,0, --
flexo label printing,297838731505,4,0,0,0.00,0.00%,2021-10-12,0, --
label and print,298270366065,21,0,0,0.00,0.00%,2021-10-12,0, --
a label printer,337153513096,6,0,0,0.00,0.00%,2021-10-12,0, --
print the label,447263480834,13,0,0,0.00,0.00%,2021-10-12,0, --
printing label printer,488062932717,6,0,0,0.00,0.00%,2021-10-12,0, --
mail service companies,298529305599,32,0,0,0.00,0.00%,2021-10-13,0, --
mailer company,298529305879,6,0,0,0.00,0.00%,2021-10-13,0, --
direct mail printing,11893346,78,0,0,0.00,0.00%,2021-10-13,0, --
direct mail printing companies,118609035,35,0,0,0.00,0.00%,2021-10-13,0, --
direct mail brochure,283777177,6,0,0,0.00,0.00%,2021-10-13,0, --
political direct mail,301216190095,5,0,0,0.00,0.00%,2021-10-13,0, --
coupon direct mail,303645715571,10,0,0,0.00,0.00%,2021-10-13,0, --
commercial direct mail,341624239378,11,0,0,0.00,0.00%,2021-10-13,0, --
direct mail printing near me,666584516877,11,1,2328800,0.00,9.09%,2021-10-13,0, --
labeler,10831331,4,0,0,0.00,0.00%,2021-10-13,0, --
labeller,15409971,3,0,0,0.00,0.00%,2021-10-13,0, --
digital label printer,43560223,2,0,0,0.00,0.00%,2021-10-13,0, --
label printer labels,1207999362,9,1,2920000,0.00,11.11%,2021-10-13,0, --
print and label,4841214024,3,0,0,0.00,0.00%,2021-10-13,0, --
label companies,296626296202,8,0,0,0.00,0.00%,2021-10-13,0, --
flexo label printing,297838731505,3,0,0,0.00,0.00%,2021-10-13,0, --
label and print,298270366065,6,0,0,0.00,0.00%,2021-10-13,0, --
labels and labelling,298430510795,21,2,12954361,0.00,9.52%,2021-10-13,0, --
mail campaign,297308249928,1,0,0,0.00,0.00%,2021-10-14,0, --
mailing service near me,297308254448,41,2,2420000,0.00,4.88%,2021-10-14,0, --
printing mailing,352127756355,4,0,0,0.00,0.00%,2021-10-14,0, --
coupon direct mail,303645715571,10,2,23200000,0.00,20.00%,2021-10-14,0, --
direct mail companies near me,334746094530,3,0,0,0.00,0.00%,2021-10-14,0, --
direct mail printing near me,666584516877,3,0,0,0.00,0.00%,2021-10-14,0, --
label printer,10143791,5,0,0,0.00,0.00%,2021-10-14,0, --
labeller,15409971,4,1,1690000,0.00,25.00%,2021-10-14,0, --
label press,38685571,2,0,0,0.00,0.00%,2021-10-14,0, --
digital label printer,43560223,3,0,0,0.00,0.00%,2021-10-14,0, --
label printing companies,50598922,12,0,0,0.00,0.00%,2021-10-14,0, --
labels to print,742816266,110,1,1410000,0.00,0.91%,2021-10-14,0, --
labels for printing,986258187,52,0,0,0.00,0.00%,2021-10-14,0, --
print and label,4841214024,15,1,2900000,0.00,6.67%,2021-10-14,0, --
labelizer,295539896379,5,0,0,0.00,0.00%,2021-10-14,0, --
label companies,296626296202,42,0,0,0.00,0.00%,2021-10-14,0, --
digital flexo printing,296684163293,7,0,0,0.00,0.00%,2021-10-14,0, --
flexo label printing,297838731505,12,0,0,0.00,0.00%,2021-10-14,0, --
label printer company,298251356377,16,1,2520000,0.00,6.25%,2021-10-14,0, --
press on labels,303833057969,1,0,0,0.00,0.00%,2021-10-14,0, --
flexo labels,351718007927,1,0,0,0.00,0.00%,2021-10-14,0, --
print the label,447263480834,60,1,700000,0.00,1.67%,2021-10-14,0, --
printing label printer,488062932717,3,0,0,0.00,0.00%,2021-10-14,0, --
printers for label printing,526122315352,2,0,0,0.00,0.00%,2021-10-14,0, --
printer and label printer,916611378840,3,0,0,0.00,0.00%,2021-10-14,0, --
political direct mail,300890160183,1,0,0,0.00,0.00%,2021-10-15,0, --
