"CAMPAIGN_PERFORMANCE_REPORT (Oct 1, 2021-Oct 31, 2021)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Phone calls,87,3,26870131,1.00,Labels,paused,3.45%,2021-10-13
Headline,131,0,0,3.00,Printing,paused,0.00%,2021-10-12
Phone calls,993,16,39340929,1.00,Printing,paused,1.61%,2021-10-27
Phone calls,268,1,10125171,1.00,Labels,paused,0.37%,2021-10-21
Phone calls,203,1,14133563,1.00,Labels,paused,0.49%,2021-10-22
Phone calls,1775,12,42155598,1.00,Printing,paused,0.68%,2021-10-28
Headline,866,12,28700000,1.00,Labels,paused,1.39%,2021-10-28
Phone calls,161,2,14902807,1.00,Labels,paused,1.24%,2021-10-19
Phone calls,6,2,4339807,0.00,Printing,paused,33.33%,2021-10-29
Headline,118,0,0,0.00,Printing,paused,0.00%,2021-10-13
Sitelink,211,2,5360000,0.00,Labels,paused,0.95%,2021-10-19
Phone calls,50,2,23200000,0.00,Call Only,paused,4.00%,2021-10-14
Headline,79,1,620000,0.00,Printing,paused,1.27%,2021-10-20
Call Ad Landing Page,666,4,16109900,0.00,Call Only,paused,0.60%,2021-10-28
Headline,306,7,13740000,0.00,Labels,paused,2.29%,2021-10-22
Call Ad Landing Page,534,3,12233300,0.00,Call Only,paused,0.56%,2021-10-26
Lead form ad,81,0,0,0.00,Labels,paused,0.00%,2021-10-22
Phone calls,294,3,39580000,0.00,Call Only,paused,1.02%,2021-10-25
Call Ad Landing Page,248,1,2328800,0.00,Call Only,paused,0.40%,2021-10-13
Phone calls,387,0,0,0.00,Labels,paused,0.00%,2021-10-20
Phone calls,675,1,3635761,0.00,Labels,paused,0.15%,2021-10-28
Lead form ad,31,0,0,0.00,Printing,paused,0.00%,2021-10-21
Lead form ad,32,0,0,0.00,Printing,paused,0.00%,2021-10-13
Sitelink,80,1,540000,0.00,Labels,paused,1.25%,2021-10-13
Headline,51,1,3770000,0.00,Printing,paused,1.96%,2021-10-18
Headline,417,4,8270000,0.00,Printing,paused,0.96%,2021-10-26
Headline,37,0,0,0.00,Printing,paused,0.00%,2021-10-22
Phone calls,186,0,0,0.00,Printing,paused,0.00%,2021-10-25
Phone calls,106,1,7760000,0.00,Call Only,paused,0.94%,2021-10-19
Call Ad Landing Page,202,1,13809500,0.00,Call Only,paused,0.50%,2021-10-21
Sitelink,112,0,0,0.00,Printing,paused,0.00%,2021-10-21
Headline,710,10,15580000,0.00,Labels,paused,1.41%,2021-10-14
Headline,351,7,11160000,0.00,Labels,paused,1.99%,2021-10-19
Headline,8,0,0,0.00,Labels,paused,0.00%,2021-10-29
Headline,115,3,5100000,0.00,Labels,paused,2.61%,2021-10-13
Headline,470,7,15420000,0.00,Labels,paused,1.49%,2021-10-18
Lead form ad,108,0,0,0.00,Labels,paused,0.00%,2021-10-27
Lead form ad,66,0,0,0.00,Labels,paused,0.00%,2021-10-15
Lead form ad,182,0,0,0.00,Labels,paused,0.00%,2021-10-20
Sitelink,283,1,3380000,0.00,Labels,paused,0.35%,2021-10-15
Headline,135,0,0,0.00,Printing,paused,0.00%,2021-10-21
Sitelink,82,0,0,0.00,Printing,paused,0.00%,2021-10-13
Call Ad Landing Page,72,0,0,0.00,Call Only,paused,0.00%,2021-10-18
Sitelink,5,0,0,0.00,Printing,paused,0.00%,2021-10-29
Phone calls,160,2,10662574,0.00,Labels,paused,1.25%,2021-10-12
Lead form ad,132,0,0,0.00,Labels,paused,0.00%,2021-10-18
Lead form ad,17,0,0,0.00,Printing,paused,0.00%,2021-10-19
Sitelink,26,0,0,0.00,Printing,paused,0.00%,2021-10-22
Lead form ad,118,0,0,0.00,Labels,paused,0.00%,2021-10-14
Phone calls,851,2,14750000,0.00,Call Only,paused,0.24%,2021-10-28
Lead form ad,34,0,0,0.00,Printing,paused,0.00%,2021-10-12
Headline,203,5,11340000,0.00,Printing,paused,2.46%,2021-10-25
Sitelink,149,0,0,0.00,Printing,paused,0.00%,2021-10-25
Phone calls,711,3,23840000,0.00,Call Only,paused,0.42%,2021-10-26
Lead form ad,96,0,0,0.00,Labels,paused,0.00%,2021-10-19
Phone calls,452,0,0,0.00,Call Only,paused,0.00%,2021-10-12
Sitelink,62,1,1830000,0.00,Printing,paused,1.61%,2021-10-15
Headline,374,6,8830000,0.00,Labels,paused,1.60%,2021-10-27
Phone calls,299,0,0,0.00,Call Only,paused,0.00%,2021-10-21
Lead form ad,46,0,0,0.00,Printing,paused,0.00%,2021-10-25
Phone calls,100,2,13455165,0.00,Printing,paused,2.00%,2021-10-14
Headline,1826,4,4340000,0.00,Printing,paused,0.22%,2021-10-28
Phone calls,61,0,0,0.00,Printing,paused,0.00%,2021-10-20
Headline,427,3,6780000,0.00,Labels,paused,0.70%,2021-10-25
Sitelink,262,2,6200000,0.00,Labels,paused,0.76%,2021-10-21
Lead form ad,36,0,0,0.00,Printing,paused,0.00%,2021-10-20
Sitelink,282,10,21500000,0.00,Labels,paused,3.55%,2021-10-25
Sitelink,87,1,1210000,0.00,Printing,paused,1.15%,2021-10-14
Phone calls,426,0,0,0.00,Labels,paused,0.00%,2021-10-14
Phone calls,5,0,0,0.00,Call Only,paused,0.00%,2021-10-29
Sitelink,283,3,4290000,0.00,Labels,paused,1.06%,2021-10-27
Phone calls,339,1,4192021,0.00,Labels,paused,0.29%,2021-10-25
Call Ad Landing Page,108,0,0,0.00,Call Only,paused,0.00%,2021-10-20
Headline,456,7,17360000,0.00,Labels,paused,1.54%,2021-10-26
Phone calls,329,2,26262892,0.00,Labels,paused,0.61%,2021-10-27
Lead form ad,122,0,0,0.00,Labels,paused,0.00%,2021-10-26
Phone calls,7,0,0,0.00,Labels,paused,0.00%,2021-10-29
Sitelink,278,7,10940000,0.00,Labels,paused,2.52%,2021-10-18
Headline,89,0,0,0.00,Printing,paused,0.00%,2021-10-19
Phone calls,59,2,12900452,0.00,Printing,paused,3.39%,2021-10-15
Sitelink,6,0,0,0.00,Labels,paused,0.00%,2021-10-29
Lead form ad,17,0,0,0.00,Printing,paused,0.00%,2021-10-18
Lead form ad,176,0,0,0.00,Labels,paused,0.00%,2021-10-28
Phone calls,30,0,0,0.00,Printing,paused,0.00%,2021-10-22
Phone calls,414,3,39180000,0.00,Call Only,paused,0.72%,2021-10-13
Lead form ad,4,0,0,0.00,Printing,paused,0.00%,2021-10-29
Call Ad Landing Page,322,1,3124000,0.00,Call Only,paused,0.31%,2021-10-12
Sitelink,394,3,8330000,0.00,Labels,paused,0.76%,2021-10-14
Phone calls,138,1,6930000,0.00,Call Only,paused,0.72%,2021-10-15
Phone calls,71,0,0,0.00,Printing,paused,0.00%,2021-10-19
Phone calls,121,1,10520000,0.00,Call Only,paused,0.83%,2021-10-18
Phone calls,157,0,0,0.00,Call Only,paused,0.00%,2021-10-20
Phone calls,35,0,0,0.00,Printing,paused,0.00%,2021-10-18
Lead form ad,226,1,640000,0.00,Printing,paused,0.44%,2021-10-27
Lead form ad,36,0,0,0.00,Printing,paused,0.00%,2021-10-15
Phone calls,218,2,27900000,0.00,Call Only,paused,0.92%,2021-10-22
Phone calls,116,2,13262878,0.00,Printing,paused,1.72%,2021-10-12
Sitelink,97,0,0,0.00,Printing,paused,0.00%,2021-10-12
Headline,1019,4,5170000,0.00,Printing,paused,0.39%,2021-10-27
Call Ad Landing Page,89,2,14100600,0.00,Call Only,paused,2.25%,2021-10-15
Lead form ad,50,0,0,0.00,Printing,paused,0.00%,2021-10-26
Headline,72,0,0,0.00,Printing,paused,0.00%,2021-10-15
Sitelink,571,5,11360000,0.00,Labels,paused,0.88%,2021-10-28
Lead form ad,90,0,0,0.00,Labels,paused,0.00%,2021-10-25
Phone calls,317,4,28390000,0.00,Call Only,paused,1.26%,2021-10-27
Phone calls,246,2,13943757,0.00,Labels,paused,0.81%,2021-10-15
Lead form ad,3,0,0,0.00,Labels,paused,0.00%,2021-10-29
Sitelink,858,8,8760000,0.00,Printing,paused,0.93%,2021-10-27
Headline,416,11,15240000,0.00,Labels,paused,2.64%,2021-10-21
Lead form ad,26,0,0,0.00,Labels,paused,0.00%,2021-10-13
Headline,466,4,10720000,0.00,Labels,paused,0.86%,2021-10-15
Headline,8,0,0,0.00,Printing,paused,0.00%,2021-10-29
Headline,109,2,2260000,0.00,Printing,paused,1.83%,2021-10-14
Call Ad Landing Page,242,1,3727500,0.00,Call Only,paused,0.41%,2021-10-27
Call Ad Landing Page,204,1,15222400,0.00,Call Only,paused,0.49%,2021-10-25
Phone calls,253,0,0,0.00,Labels,paused,0.00%,2021-10-18
Headline,689,9,26620000,0.00,Labels,paused,1.31%,2021-10-20
Sitelink,60,1,1360000,0.00,Printing,paused,1.67%,2021-10-19
Sitelink,313,3,3800000,0.00,Labels,paused,0.96%,2021-10-26
Lead form ad,412,0,0,0.00,Printing,paused,0.00%,2021-10-28
Call Ad Landing Page,4,0,0,0.00,Call Only,paused,0.00%,2021-10-29
Sitelink,199,1,1160000,0.00,Labels,paused,0.50%,2021-10-22
Headline,358,4,6190000,0.00,Labels,paused,1.12%,2021-10-12
Sitelink,1508,8,7850000,0.00,Printing,paused,0.53%,2021-10-28
Lead form ad,8,0,0,0.00,Printing,paused,0.00%,2021-10-22
Sitelink,441,3,5690000,0.00,Labels,paused,0.68%,2021-10-20
Sitelink,55,0,0,0.00,Printing,paused,0.00%,2021-10-20
Sitelink,359,5,9380000,0.00,Printing,paused,1.39%,2021-10-26
Phone calls,113,2,18721846,0.00,Printing,paused,1.77%,2021-10-21
Sitelink,197,4,10160000,0.00,Labels,paused,2.03%,2021-10-12
Call Ad Landing Page,162,1,8867900,0.00,Call Only,paused,0.62%,2021-10-22
Lead form ad,119,0,0,0.00,Labels,paused,0.00%,2021-10-21
Lead form ad,45,1,1360000,0.00,Labels,paused,2.22%,2021-10-12
Phone calls,402,8,38376011,0.00,Printing,paused,1.99%,2021-10-26
Call Ad Landing Page,66,0,0,0.00,Call Only,paused,0.00%,2021-10-19
Phone calls,94,0,0,0.00,Printing,paused,0.00%,2021-10-13
Phone calls,379,3,25935128,0.00,Labels,paused,0.79%,2021-10-26
Call Ad Landing Page,34,0,0,0.00,Call Only,paused,0.00%,2021-10-14
Sitelink,38,0,0,0.00,Printing,paused,0.00%,2021-10-18
Lead form ad,20,0,0,0.00,Printing,paused,0.00%,2021-10-14
Total, --, --, --, --, --, --, --, --
