"ADGROUP_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Ad group ID,Ad group,Impressions,Clicks,Cost,Conversions,CTR,Currency,Day
114004997417,Ad group,3098,43,29139618,0.00,1.39%,USD,2022-04-22
114004997417,Ad group,9572,109,77586427,0.00,1.14%,USD,2022-04-12
114004997417,Ad group,27192,236,148590955,0.00,0.87%,USD,2022-04-09
135562266133,Ad group 1,86,6,29380000,0.00,6.98%,USD,2022-04-23
132883160777,undermount,1598,2,7811371,0.00,0.13%,USD,2022-04-03
135562266133,Ad group 1,37,8,29000000,0.00,21.62%,USD,2022-04-22
114004997417,Ad group,9228,85,105049231,0.00,0.92%,USD,2022-04-27
114004997417,Ad group,2433,30,20516024,0.00,1.23%,USD,2022-04-20
132883160777,undermount,356,5,12051736,0.00,1.40%,USD,2022-04-19
135562266133,Ad group 1,42,6,36030000,0.00,14.29%,USD,2022-04-25
114004997417,Ad group,9052,88,94547712,1.00,0.97%,USD,2022-04-03
114004997417,Ad group,19810,196,228353923,1.00,0.99%,USD,2022-04-05
135562266133,Ad group 1,17,2,1190000,0.00,11.76%,USD,2022-04-21
132883160777,undermount,34,4,15070000,0.00,11.76%,USD,2022-04-09
114004997417,Ad group,1567,27,17382433,0.00,1.72%,USD,2022-04-24
132883160777,undermount,521,11,16336695,0.00,2.11%,USD,2022-04-13
132883160777,undermount,439,9,15282839,0.00,2.05%,USD,2022-04-15
132883160777,undermount,9,0,0,0.00,0.00%,USD,2022-04-21
114004997417,Ad group,18494,148,100893149,1.00,0.80%,USD,2022-04-10
114004997417,Ad group,21860,260,74637727,3.00,1.19%,USD,2022-04-17
114004997417,Ad group,8532,98,81286189,1.00,1.15%,USD,2022-04-11
114004997417,Ad group,27440,383,254553574,1.00,1.40%,USD,2022-04-13
114004997417,Ad group,15480,164,179350000,4.00,1.06%,USD,2022-04-30
132883160777,undermount,564,7,18659848,0.00,1.24%,USD,2022-04-12
114004997417,Ad group,2860,37,39031007,0.00,1.29%,USD,2022-04-19
114004997417,Ad group,2035,22,17690000,0.00,1.08%,USD,2022-04-23
114004997417,Ad group,6500,72,88439042,0.00,1.11%,USD,2022-04-01
132883160777,undermount,777,7,27564686,1.00,0.90%,USD,2022-04-04
114004997417,Ad group,9485,120,104122009,1.00,1.27%,USD,2022-04-02
132883160777,undermount,5959,16,22993006,1.00,0.27%,USD,2022-04-06
114004997417,Ad group,19010,306,180524652,1.40,1.61%,USD,2022-04-06
114004997417,Ad group,2002,19,15431486,0.00,0.95%,USD,2022-04-16
135562266133,Ad group 1,15,2,2480000,0.00,13.33%,USD,2022-04-26
114004997417,Ad group,27226,313,239543215,0.00,1.15%,USD,2022-04-14
114004997417,Ad group,11777,148,186140504,0.00,1.26%,USD,2022-04-21
135562266133,Ad group 1,91,10,59660000,0.00,10.99%,USD,2022-04-24
132883160777,undermount,2124,16,9980576,0.00,0.75%,USD,2022-04-10
132883160777,undermount,1516,13,18173680,0.00,0.86%,USD,2022-04-11
132883160777,undermount,157,6,11480000,0.00,3.82%,USD,2022-04-20
114004997417,Ad group,40,0,0,0.00,0.00%,USD,2022-04-26
114004997417,Ad group,12111,107,121766675,1.00,0.88%,USD,2022-04-04
114004997417,Ad group,10484,94,85301807,0.00,0.90%,USD,2022-04-08
114004997417,Ad group,12310,131,162871013,0.60,1.06%,USD,2022-04-29
132883160777,undermount,2537,7,19046528,1.00,0.28%,USD,2022-04-05
114004997417,Ad group,36588,729,321178724,1.00,1.99%,USD,2022-04-07
132883160777,undermount,316,1,2217286,0.00,0.32%,USD,2022-04-01
114004997417,Ad group,10920,95,110084462,0.00,0.87%,USD,2022-04-28
132883160777,undermount,3875,3,13152192,0.00,0.08%,USD,2022-04-02
114004997417,Ad group,1518,17,6206419,0.00,1.12%,USD,2022-04-18
132883160777,undermount,386,7,29400000,0.00,1.81%,USD,2022-04-18
132883160777,undermount,435,6,14281046,0.00,1.38%,USD,2022-04-14
132883160777,undermount,1251,11,13066222,0.00,0.88%,USD,2022-04-07
132883160777,undermount,420,3,4423770,0.00,0.71%,USD,2022-04-16
132883160777,undermount,84,7,21425965,0.00,8.33%,USD,2022-04-08
132883160777,undermount,2744,16,12145895,0.00,0.58%,USD,2022-04-17
114004997417,Ad group,2122,20,12520000,0.00,0.94%,USD,2022-04-25
114004997417,Ad group,11927,171,71822594,0.00,1.43%,USD,2022-04-15
Total, --,379063,4459,3636863912,20.00,1.18%, --, --
